Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,1,0,97,92,60,249,62.41
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,10,-,-,-,-,24,68.57
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,100,-,-,-,-,11,13.75
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,102,0,313,459,225,997,42.75
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,103,0,180,307,142,629,34.28
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,109,0,105,210,131,446,34.49
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,111,0,191,221,218,630,31.69
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,112,-,-,-,-,83,28.72
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,113,0,62,54,138,254,34.70
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,114,-,-,-,-,584,45.91
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,184,0,234,286,128,648,38.78
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,2,0,102,71,191,364,49.46
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,3,-,-,-,-,753,57.92
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,4,0,136,133,165,434,40.41
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,5,0,243,188,301,732,47.56
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,6,0,226,214,204,644,58.49
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,67,0,151,179,141,471,56.21
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,68,0,0,0,0,0,0.00
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,7,0,138,84,208,430,33.36
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,8,0,82,60,115,257,32.57
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,9,0,323,294,341,958,43.74
"REPRESENTATIVE IN CONGRESS, DIST. 23",Joseph 'Joe' Kaufman,REP,099,0,209,149,204,562,51.14
"REPRESENTATIVE IN CONGRESS, DIST. 23",Debbie Wasserman Schultz,DEM,1,-,-,-,-,136,34.09
